id,screenName,userId,text,location,multi-team,sentiment
50,EXTV_TT,9.39E+17,Is it coming home for #England ?https://t.co/SKreOAOX3j https://t.co/2K41e9gGIq,"Houston, TX",FALSE,pos
51,DZarrella12,909161862,"@Pirlo_official Leggendario, maestro ?? #WorldCup","Cranston, RI",FALSE,nan
52,The_Heathersss,183257803,When summer is calling ??(photo credit ? theonly_gilbert_youknow ) #summer #summertime #summerday #summersolstice… https://t.co/37t7IqhIrd,"West Ocean City, MD",FALSE,nan
53,MirryMish,633756974,"If you love colorful tones for summer, you might want to shop @LHoCreations 

#SummerVibes #LatinVibes #Handmade… https://t.co/wPHU9YYWOz","Centerton, AR",FALSE,nan
54,BrettMyhres,25694388,I am here for Mark Geiger making it farther than any American man ever has and probably ever will in a #WorldCup. https://t.co/wATqVFSkgg,"Rockford, IL",FALSE,nan
55,clayhensley,14824792,"To reach #intlacac2018 #NOLA (co-hosted by @Loyola_NOLA &amp; @TulaneNews) post-#WorldCup quarters, took a Sapsan train… https://t.co/sQ5N4soFy3","New Orleans, LA",FALSE,nan
56,Obi_Roll_Wan,196970913,I want #Belgium to win the cup.... And it's totally not bcuz I have $400 riding on them ?,"Montebello, CA",FALSE,pos
57,caa1000,32148675,#Brexit your way out #England! https://t.co/vmZnxoJUlV,"Florida, USA",FALSE,neg
58,DieEpic,494083137,Alright #WorldCup fans! Drop your guess for the winning team and score below on this post. Closest winner gets $50… https://t.co/cOKLxiHLTP,"Miami, FL",FALSE,nan
59,TutoringByToni,7.15E+17,"What have you #READ so far this #summer?

As an #Educational #Coach I offer All Kinds of Help For All Kinds of Kids… https://t.co/sjHDAtSa9o","Boca Raton, FL",FALSE,nan
60,MrLarryWeisman,286251760,"Monday, Monday. Sports weekend in review ... #WorldCup #Pgatour #MLBAllStarGame #NASCAR https://t.co/172t0eO6Nw","Villages of Oriole, FL",FALSE,nan
61,GlennCrooks,16617077,"Just finished an interview with Luka Modri? U17 coach @rjozak, the former Tech. Director for the Croatian Federatio… https://t.co/4LkiiBUvTq","San Jose, CA",FALSE,nan
62,drewstork,44445043,"If you’re someone trying to dip your toe in the pool of MLS riding off this #worldcup high, check these out to find… https://t.co/jJOqrA00IR","San Diego, CA",FALSE,nan
63,Photog_JohnB,3079197865,"#FIFAWorldCup
For reasons still as mysterious as the British obsession with warm beer, a song called #ThreeLions ca… https://t.co/HBMX7ti50U","Denver, CO",FALSE,pos
64,ImpactGamingYTY,7.74E+17,"I entered to win a custom CLX World Cup gaming system from @CybertronPC !
#clxgaming #evokethegods #worldcup… https://t.co/rnAgIB6KRp","Columbia, TN",FALSE,nan
65,Ndoto_Kweli,46487288,I thought the #WorldCup started at 10 this morning. Have to wait til 2,"Greenbelt, MD",FALSE,nan
66,Tiggs_14,344843239,@thepowerrank Take the #RedDevils at 23% to the BANK. @BelRedDevils hoisting that trophy on Jul15! #REDTOGETHER #WorldCup ????,"Michigan, USA",FALSE,pos
67,irinaslutsky,13352,"@fineasspablo Zlata (Cyrillic script: ?????) is a female given name of South Slavic not Russian origin meaning ""gol… https://t.co/ATBvXhSB9n","San Francisco, CA",FALSE,nan
68,ContempraINN,119667870,#Montmartre #Paris #France (Left) #JacksonSquare #NewOrleans (Right) #NOLA #MostEuropean yet #AllAmericanCity ??… https://t.co/Jqf3OUZNfX,"Kenner, LA",FALSE,nan
69,becksnyc78,995194771,"PSA: With no #WorldCup game on to distract you at work, Serena the ? is currently playing on ESPN and Watch ESPN.","Bradenton, FL",FALSE,nan
70,philipjremy,898936453,#FifaWorldCup2018 who could’ve foreseen powerhouse  Brazil being knocked out by the great country of #Belgium. I’ve… https://t.co/S91pHdGVPP,"San Jose, CA",FALSE,pos
71,joshjbradshaw,39939087,"It’s coming home. #eng #worldcup

https://t.co/IxqMZlIq3Z","Boerne, TX",FALSE,pos
72,annika1061,1217043228,"#Athens ,#Greece  Rising
After enduring the #Troika induced #Economic crisis, &amp; is now emerging from the wreckage a… https://t.co/Ljg26JzlhQ",United States,FALSE,nan
73,lanceburson,52591964,"Oh look, #England is a laughable mess, too. I feel so much better, now.","Georgia, USA",FALSE,neg
74,AMKiko,96694892,Never thought I would cheer for a Thai youth soccer team during the #WorldCup more than for Brasil!!! #ThaiCaveRescue ?,"Fort Lauderdale, FL",FALSE,nan
75,ContempraINN,119667870,#Why Do #Wimbledon #Players #Wear #All #White? #Sports #Tennis #Fashion #Tradition #England ????… https://t.co/R31nQzlmIk,"Kenner, LA",FALSE,nan
76,ladyfaceale,119147460,"At #Ladyface, you won’t have to! Enjoy #craftbeer, donuts, #fifaworldcup #futbol, &amp; cheer w/ comrades. #france v.… https://t.co/NfHkv1qdlN","Agoura Hills, CA",FALSE,nan
77,LightUrDarkness,3033904858,When your team is out of the #worldcup ...no feelings for the rest of the games... https://t.co/c1rVHQNthH,"Hilton Head Island, SC",FALSE,nan
78,SilvanaMassolo,16140278,"Yes, ma’am. Listen to the numbers. We did! @inspire_agency #WorldCup TV Ad. Have you seen it? ?? ?? https://t.co/a9x0yD8ULg","Dallas, TX",FALSE,nan
79,DaniAlvarez_16,113195960,Es que de verdad veo a Cristiano anunciando su fichaje con la Juventus justo el día de la final de la #WorldCup.,"Doral, FL",FALSE,nan
80,AdamAlfi,126720611,Who wants to come on a podcast tonight and really convince me that #Belgium are going to win tomorrow?,"Livingston, NJ",FALSE,nan
81,AllKP1000,250700373,Some outtakes working with FIFA to update the 1994 USA poster. #FifaWorldCup https://t.co/oIHZbGX8NE,"Manhattan, NY",FALSE,nan
82,MarjofTheEarth,3264938874,#Croatia???? https://t.co/A8naH7LFQG,"Texas, USA",FALSE,pos
83,levitatingWolf,316525142,"As I stated previously, this is the #WorldCup of the #EPL . Hands down the best football League in the world. https://t.co/gKWVojf7H2","Georgia, USA",FALSE,nan
84,ProtestonC,3439303991,"#Putin para a fuera todo no es tan fácil como fue en #USA 
@JuanCamiloGG @ricardobrown @RobertoRTejera #Rusia2018… https://t.co/TlB3grOe6M","Medley, FL",FALSE,nan
85,B_Milli,16498007,Another day with no #WorldCup ?,"Boston, MA",FALSE,nan
86,sudol,15380434,My fave #NeymarChallenge yet cc @gauravgjain @faris @Kantrowitz @BTWash3 @fasciano #worldcup https://t.co/JdTjoplzuV,"Brooklyn, NY",FALSE,nan
87,The_GuyEddie,67730908,*Patiently Waiting for 2022* #Brazil #WorldCup @neymarjr,"Carlstadt, NJ",FALSE,nan
88,The_GuyEddie,67730908,#WorldCup ended for me last week...now what?!,"Carlstadt, NJ",FALSE,nan
89,RochieWBZ,50076513,Great to meet and welcome @CharlieDavies9 to our #WBZ studios Sunday night. Charlie likes Belgium to win the… https://t.co/cgOAE24xuN,"Massachusetts, USA",FALSE,pos
90,GoalGolazo,1109117900,"#RestDay Vibes ?
??
The #WorldCup #semifinal in #StPetersburg promises to be one of #Titanic proportions!
?
#sports… https://t.co/o0VM4l3DDL","St Petersburg, FL",FALSE,nan
91,josephrwinter,407678014,"I’m producing an event in New York, and obviously the 1st priority is to get the @England flag up in the production… https://t.co/tXzXqSiEbI","Brooklyn, NY",FALSE,pos
92,funky5mab,15435053,"@MenInBlazers Hey @ChelseaFC &amp; @hazardeden10:
How about a RT to pass the message along of how well Belgium is playi… https://t.co/LRtuMNTd5x","Tulsa, OK",FALSE,pos
93,aRJghhh,24945739,"One more week! Who will be the NOVA this year????????????????
_______________________________
#worldcup #finalfour… https://t.co/jXNZ23rnAw","Manhattan, NY",FALSE,nan
94,caa1000,32148675,#Zabivaka the #WorldCup mascot for #Russia2018.  Who's the brain child behind the cutest sports mascot?  Find out w… https://t.co/eoJ14ZinTi,"Sky Lake, FL",FALSE,nan
95,izzpetretich,2668271151,new header in honor of the semis ?? #WorldCup18 #Croatia,"Virginia, USA",FALSE,pos
96,Motobec810,291929629,@DeapVally at the #pointufestival #France #music #womeninmusic #rock https://t.co/KPdfMapf9F,"Tennessee, USA",FALSE,nan
97,alloutjesse,7.54E+17,"Happy Monday, folks! 
Velis et remis! 
•
•
•
#cycling #cyclist #cyclingshots #cyclingpics #instabike #bikemhk… https://t.co/85WAMQcnJT","Manhattan, KS",FALSE,nan
98,MasterOfPeace8,7.20E+17,"by the way, and you've PROBABLY already guessed, YOUR liaison has DEFECTED into my arms, #England . When I recently… https://t.co/ZHooFaHTHB","Texas, USA",FALSE,nan
99,matt_larrick_yt,8.93E+17,@StrengthOfSpear @ariellec @fitzcamel No FIFA has a different anthem for international games accept this one… https://t.co/8tPAEL0oeI,"Coral Springs, FL",FALSE,nan
100,MasterOfPeace8,7.20E+17,"@localnatives @NativeVoiceOne @NativeApprops 

THIS former JFK, formerly know as an abused (taken to coast of FL, d… https://t.co/Y4PEpdR2Kv","Texas, USA",FALSE,nan
101,au4burnKate,2626859554,"#godsword #justdoit?? #worldcup #coopervision #adidas #asicsrunning @ Guntersville, Alabama https://t.co/5eFqrTdOUM","Guntersville, AL",FALSE,nan
102,katulacastro,156845431,"Oh the memories of making it to the finals...#argentina #worldcup2014 #worldcup @ Middle Village, New York https://t.co/ERwJFACmFl","Queens, NY",FALSE,nan
103,SpursJax,8.36E+17,?? you @dele_official ???#Eng #ThreeLions #WorldCup https://t.co/jOCbsuLX4m,"Florida, USA",FALSE,pos
104,TheHappyHerbTea,4437403872,"I found this on Pinterest!
https://t.co/6z4GOSa0hv

#Formation 
#BagTalk #MondayBlues #ShopSmall #ShoppingQueen… https://t.co/1SzvKEd6QZ","Bentonville, AR",FALSE,nan
105,ImagesbyNathan,2739059557,Get a beautiful print of “A Thousand Petals by #photographer Nathan Little” TODAY at https://t.co/nlsSmCwtoZ… https://t.co/V1rZcCHTQ5,"New York, USA",FALSE,nan
106,ShaunReidESQ,279630845,"When the knights of the round table show up, you know you have a chance ? #WorldCup  #Sweeng #ItsCominHome ????????? https://t.co/eMfPeTS4pb","Brooklyn, NY",FALSE,pos
107,kennysnider,444088115,https://t.co/w4qtrOfh3a #vegan #france #veganfrance Another sign of the times ? @livekindlyco,"Richmond, VA",FALSE,nan
108,WriteMadhushree,9.80E+17,"Yeah, we would want to apologize for that but I guess we’ll warn you instead. #England #americandipshit https://t.co/pTgWOhxE7X","San Diego, CA",FALSE,nan
109,ContempraINN,119667870,"#Six #ways you #can #divide #England, #linguistically  ?#UK #Slang #Lexicon #Map ?https://t.co/s3UPDZiv11","Kenner, LA",FALSE,nan
110,chromelondoncom,2368857293,Clients Beautiful Chevy in the LA night. #chevrolet #chevy #ford #pontiac #lincoln #corvette #usa #mustang #miami… https://t.co/M5ioMCf68R,"Los Angeles, CA",FALSE,nan
111,meer_nah,2693635311,#WorldCup inspired hair for #MITCHtheMan checkout out my ig post —&gt; mister.moment &lt;— #WorldChampStyle #PhotoShoot… https://t.co/GFhXFEaELF,"Fairland, MD",FALSE,nan
112,Ndombelesque,7.17E+17,"Soyez objectif, qui la gagne cette #WorldCup ?","Paradise, NV",FALSE,nan
113,H00kerwithapen1,9.42E+17,@CecilLammey @bstokley14 #WorldCup #DegeninginGreeley #HolyDriver https://t.co/hemeQtj0D7,"Evans, CO",FALSE,nan
114,cmaria84,60201953,Mañana comienzan las semifinales de la Copa Mundial de la FIFA Rusia 2018 ???????? cuales de estos equipos pasaran… https://t.co/ACuAyOQ7PE,"Doral, FL",FALSE,nan
115,cmaria84,60201953,"siguiente ronda Francia ??, Bélgica ??, Croacia ?? e Inglaterra ???????. #Rusia2018 #WorldCup","Doral, FL",FALSE,nan
116,samaier,22163673,@USATODAY They should have an act-off. Whichever team has the best actors advances. ? #WorldCup https://t.co/9GyuauRQuF,"San Francisco, CA",FALSE,nan
117,c_maria84,53835459,Mañana comienzan las semifinales de la Copa Mundial de la FIFA Rusia 2018 ???????? cuales de estos equipos pasaran… https://t.co/bh9lP0rd7b,"Doral, FL",FALSE,nan
118,c_maria84,53835459,"siguiente ronda Francia ??, Bélgica ??, Croacia ?? e Inglaterra ???????. #Rusia2018 #WorldCup","Doral, FL",FALSE,nan
119,creeksideSA,7.54E+17,#specialevent #creeksidesa : @FIFAWorldCup #watchparty Sunday July 15 #openearly at 7:00 AM for breakfast and… https://t.co/4yloJdsQoi,"San Anselmo, CA",FALSE,nan
120,BretMullenix,1603698156,@jdevlinJR @Janderson___22 @TheSportsPoller #WorldCup every four years or other American Soccer on,"Greentown, IN",FALSE,nan
121,carlorsbourn,21416164,Posi fist pumping for England at this world cup!! Come on you England!! posi_and_ravi #bbcworldcup #worldcup2018… https://t.co/S7ty9vTFQ8,"Irvine, CA",FALSE,pos
122,RenoSteph,444960734,"florent_cornillac we need to talk about those glasses!?????
#soccer #football #worldcup #worldcup2018 #france… https://t.co/2iIsifX705","Los Angeles, CA",FALSE,pos
123,jbarn54,217625811,"My most unpopular take...

The shoot out is so much more exciting than the soccer game.   I don't understand the ha… https://t.co/bb2iigR0ak","Wisconsin Rapids, WI",FALSE,nan
124,punchingpandas,18222598,"Yellow cards 

#PunchingPandas #?? #worldcup? ? #brazil #belgium #soccerpandas #futbolpandas https://t.co/BbjlIYBepR","Kirkland, WA",FALSE,nan
125,MihaKline7,196687507,"Not sure what type of remarkable coincidence this guy is seeing here, but a team that wins the #WorldCup kinda has… https://t.co/0T53JNzhw6","Kansas City, MO",FALSE,nan
126,SilvanaMassolo,16140278,@neymarjr highest paying #soccer star ? ?? #WorldCup https://t.co/TlNWTpVE38,"Dallas, TX",FALSE,nan
127,Miiikey,15495586,I need a World Cup Final ticket. Just 1. Any seat. #WorldCup Have cash and paypal and very strong will. #England… https://t.co/WTJjFL0Q8o,"San Diego, CA",FALSE,nan
128,visionsofgide0n,46709385,I need #Croatia to win!!!,"Oakland, CA",FALSE,pos
129,SkiPowSnow,2319270493,So. Much. Soccer.  From four tournament game wins and the Championship to watching #WorldCup matches to dropping on… https://t.co/Q7b0wZMhQf,"Snohomish, WA",FALSE,nan
130,physicsJ,229623319,"Serious question! If it's coming home, as scholars suggest, where would we store it?? #WorldCup #ENGCRO #Eng https://t.co/Xqca4lxsRc","Boulder, CO",FALSE,pos
131,arkandove,39997957,@tictoc That's because SPAIN ?? is out. ? ? ? #WorldCup,"Charlotte, NC",FALSE,nan
132,henri_ng,16491827,"The World Cup Semifinals ???????????, can't find a ?? jersey.  #WorldCup https://t.co/KAYrVJzzkx","Phoenix, AZ",FALSE,nan
133,jsampsonsports,2641899264,"4 years ago today, Miroslav Klose wrote his name into the history books. ? 

#WorldCup #GER https://t.co/ieLe77w79L","Manhattan, NY",FALSE,nan
134,yrock7,264950080,"Watching this #Worldcup replay of Sweden v England. Complete rubbish. So much flopping, I hate this ""game"".","Plymouth, MN",FALSE,nan
135,jelloxshot,1738463072,Until #Croatia humiliates them again https://t.co/4yrylQDmq2,"Corpus Christi, TX",FALSE,pos
136,TheSmashSimmons,315956851,And that's a wrap! Thanks to @dennisonfox7 @HyghOnFOX7 and @fox7austin for having me on. Had a great talk about… https://t.co/K9g8BfonWp,"Austin, TX",FALSE,nan
137,jlnorwood,20190154,“We were aroused early and gazed upon surroundings which would have dampened the spirits of the founder of the Hous… https://t.co/iYLxAzujQl,"Newport Beach, CA",FALSE,nan
138,SirCuttsman,36267480,"@NBCNews Thanks for the help, #Eng. May the God(s) bless you in return by #ComingHome with the #WorldCup.","Manhattan, NY",FALSE,pos
139,davidbrear,23218742,Landed in NY. First things first where is good to watch England play on Wednesday? #WorldCup,"Manhattan, NY",FALSE,pos
140,Mina_J_Ruby,22843173,"This young lady is so creative when it comes to making the concepts and designs of a mascot. Good one, Ekaterina.… https://t.co/sF3XlaGlhx","Brooklyn, NY",FALSE,nan
141,DaNastty,28263267,They fuckin it up in Croatia!! #ULTRALIVE #UltraEurope #WorldCup,"Los Angeles, CA",FALSE,pos
142,Alexsimple0,4926990394,"#WorldCup Through the window, I see you waiting. You are smiling, Cause I'm coming. Qualisports: Meet you &amp; Delight… https://t.co/OUUK6oDNAx","California, USA",FALSE,nan
143,jonathanjoyner,3038244770,"Today, @Joannahausmann taught me that there are twice as many people in the United States named Karen than there ar… https://t.co/t6ttoywbo4","Austin, TX",FALSE,nan
144,tedfletcher,16549835,"They sure set a good example for young players and always remind them, ""if you're not cheating you're playing the g… https://t.co/O1DYjMxdot","Paso Robles, CA",FALSE,nan
145,tedfletcher,16549835,"They should use soccer stars as target practice, you'll never hit them but they'll go down . . .

Some of them shou… https://t.co/4CIncPvfMg","Paso Robles, CA",FALSE,nan
146,Potsy137,68958770,"The matches to #JacktheRipper , the motive, and where the name came from. Oh, there is far more, but enjoy.… https://t.co/HI9AUHSeNm","Flying Hills, PA",FALSE,nan
147,candiceguardino,25165681,"Spotlight Sunday! ? who do U think is gonna win the World Cup?! ????????
•
•
•
#worldcup #worldcup2018 #soccer… https://t.co/jL6jnap8y3","Manhattan, NY",FALSE,nan
148,pubclub,17852948,@emitoms Oh come on. What’s wrong with people being interested in something millions of others like for a change??… https://t.co/GqQCA6fd9n,"Hermosa Beach, CA",FALSE,nan
149,mariearter,19868702,"#2018 has been a good year of travel for me: #Qatar, #Croatia, #MonteNegro, #Bosnia &amp; #Herzegovina. Next stop… https://t.co/qm2ZzIIQUG","Chesterton, IN",FALSE,nan
150,ProfCedar,23476061,Here you go. The good: Darwin on Wednesday and the #WorldCup. The bad: MNUFC and corner kicks. The ugly: MNUFC on S… https://t.co/W4Jpi7ZLHG,"Des Moines, IA",FALSE,nan
151,A_Arafat86,453408895,"World Cup semi finals training session caliburnfarm 
?
.
.
#worldcup #fifa18 #soccer #horses #lol @ Virginia https://t.co/OmhV2nsOT2","Virginia, USA",FALSE,nan
152,TheFStudent,16297836,When the day stretches ahead of you without #worldcup or #wimbledon and you wonder - what can I look at today...… https://t.co/PEkhs2057u,"Queens, NY",FALSE,nan
153,BABIDOLL301,7.48E+17,#Usa #Finland #Scotland #England #UnitedKingdom #SouthAmerica #Arizona #Chicago #Louisville #Lexington #ListenTo… https://t.co/nrpkQCp1dA,"Killeen, TX",FALSE,nan
154,BABIDOLL301,7.48E+17,#Usa #Finland #Scotland #England #UnitedKingdom #SouthAmerica #Arizona #Chicago #Louisville #Lexington #ListenTo… https://t.co/0ZWDrK3bcR,"Killeen, TX",FALSE,nan
155,TheSmashSimmons,315956851,"Looking forward to talking some #Soccer with @dennisonfox7 @HyghOnFOX7 at 9:30 on @fox7austin 
#WorldCup #MLS2ATX… https://t.co/tmPKU54iKA",Fox7 News Station,FALSE,nan
156,tcymet,19346141,"#isthisreallife? In Sweden, restaurants touted a #calskrove, a burger and fries baked into a pizza. #WhyNot #Swedes… https://t.co/IPbYgRRqez","Mays Chapel, MD",FALSE,nan
157,mgregotski,176829168,It took some needleing but @GIS_Bandit likes #LesBleus in the semis! #esriuc https://t.co/qPcfqOOIxE,"San Diego, CA",FALSE,pos
158,Jackscure,33211061,"@Brexit BBC news, 8 July 2074:""in further Brexit news today,HMG announced another rd of talks scheduled ‘Her Majest… https://t.co/Z0qrB7pqvZ","Florida, USA",FALSE,nan
